objectID,title,artist,medium,department,culture,period,classification,imageURL
209372,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/29,photograph,"https://www.artic.edu/iiif/2/f3d0e802-8bc1-1963-4985-f252677cc984/full/843,/0/default.jpg"
209294,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1910/19,photograph,"https://www.artic.edu/iiif/2/d2fb510b-d756-def6-2918-fdd9c458c945/full/843,/0/default.jpg"
104018,"Entrance to Farnese Palace, Rome, Italy, Travel Sketch","John Augur Holabird, Sr.",Pencil on paper,Architecture and Design,United States,c. 1910–1913,drawings (visual works),"https://www.artic.edu/iiif/2/58630a5b-7348-7134-a01b-f2132903d21e/full/843,/0/default.jpg"
71537,"Charles R. Larrabee House, Chicago, Illinois, Front Elevation",Edward Burling,Ink on linen,Architecture and Design,Chicago,c. 1863/64,working drawing,"https://www.artic.edu/iiif/2/52daf382-9120-c93d-a7d7-f8fe57f599f5/full/843,/0/default.jpg"
209135,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1920/29,photograph,"https://www.artic.edu/iiif/2/9dadc8ca-7989-f68a-525b-fba8ad853137/full/843,/0/default.jpg"
75982,"John Bigane & Sons Coal Office, Chicago, Illinois, Elevations and Section",Nowlen Nowlen,Black and brown ink on linen,Architecture and Design,United States,1927,architecture,"https://www.artic.edu/iiif/2/8c2b4848-5daf-d9d2-904e-ec2595537c0d/full/843,/0/default.jpg"
72680,"Stewart–Bentley Building, Chicago, Illinois, Perspective","Carter, Drake and Wight",Ink and watercolor on paper,Architecture and Design,"Dearborn Street, 30-32 North",1872,presentation drawing,"https://www.artic.edu/iiif/2/e8c30684-d7e4-033f-b518-04996171e8e3/full/843,/0/default.jpg"
237478,"Northwestern Life Insurance Company Building, Milwaukee, Wisconsin, Landscape Perspective",Franz Lipp,Graphite on illustration board,Architecture and Design,Milwaukee,c. 1950,landscape drawing,"https://www.artic.edu/iiif/2/5e689cdb-fb88-a289-ccda-59efd1afaec8/full/843,/0/default.jpg"
214813,"The Books, Museum of Contemporary Art, Chicago poster",Sonnenzimmer,8-color screen print on paper,Architecture and Design,United States,2009,screenprint,"https://www.artic.edu/iiif/2/acca7347-ec85-45dd-f576-0b7bbab28db4/full/843,/0/default.jpg"
209246,Untitled,Unknown Maker,Gelatin silver print,Photography and Media,Unknown Place,c. 1930/39,photograph,"https://www.artic.edu/iiif/2/83e15fd6-aea3-3f1b-fc04-d40ab61773ba/full/843,/0/default.jpg"
178776,"Console ""B"", Cray Research, Chippewa Falls, Wisconsin, Perspective",John N. Polivka,Graphite on tracing paper,Architecture and Design,Chippewa Falls,1960,design drawing,"https://www.artic.edu/iiif/2/32e950d7-b97e-f8ae-3e47-2285236a04b9/full/843,/0/default.jpg"
107079,"Trustees System Service Building, Chicago, Illinois, Presentation Drawing",Thielbar and Fugard (Firm),"Graphite and watercolor on paper, mounted on board",Architecture and Design,Chicago,1930,presentation drawing,"https://www.artic.edu/iiif/2/0396880e-a69e-710f-e31a-ed8c9eb8132c/full/843,/0/default.jpg"
105168,"Lawrence College Dedication of Institute of Paper Chemistry, Appleton, Wisconsin, Sketch",Chester Howe Walcott,Pencil on program printed on paper,Architecture and Design,United States,"Sept. 23, 1931",architectural drawing,"https://www.artic.edu/iiif/2/2f10a915-8a53-ed3a-525e-04d9f2ef0d7a/full/843,/0/default.jpg"
102965,"Town Library Proposal, Cleveland Architectural Club Competition, Elevation",Augustus C. Wilmanns,"Graphite, ink, and watercolor on drawing paper",Architecture and Design,Cleveland,1897,presentation drawing,"https://www.artic.edu/iiif/2/4f9db504-b0c0-e919-69d8-25d9c664ac82/full/843,/0/default.jpg"
250799,"Capitol Theatre and Office Building, Melbourne, Australia, Details",Walter Burley Griffin,Black and brown ink on linen,Architecture and Design,"Swanson Street, 113",1924,architectural working drawing,"https://www.artic.edu/iiif/2/c64ff68c-c296-162e-7d75-d485f7f2b5f9/full/843,/0/default.jpg"
250420,"War Memorial, Student Drawing, Plan and Elevations","Joseph Palma, Jr.","Graphite, colored pencil, ink, and ink wash on heavy paper",Architecture and Design,Chicago,c. 1930,architectural drawing,"https://www.artic.edu/iiif/2/27c5e6b0-2065-4863-b82a-597c499716e5/full/843,/0/default.jpg"
215643,"Poetry Foundation, Chicago, Illinois, Iterative Model",John Ronan,Mixed media,Architecture and Design,United States,2008,architectural model,"https://www.artic.edu/iiif/2/faa995d3-a7be-40dd-ebf1-92f03990dd65/full/843,/0/default.jpg"
203045,FRAME 33,COMA,Magazine,Architecture and Design,,2003,graphic design,"https://www.artic.edu/iiif/2/0551e0ce-06bf-9a96-4abb-b6b07556c5a0/full/843,/0/default.jpg"
107317,"Unidentified House, Exterior Back Perspective",Melville Clarke Chatten,Pencil on paper mounted on board,Architecture and Design,United States,c. 1937,drawings (visual works),"https://www.artic.edu/iiif/2/44a02079-626b-dfb3-bf58-85f627d1798c/full/843,/0/default.jpg"
100696,"Campanile, Piazza de San Marco, Venice, Italy, Travel Sketch",George Washington Maher,Ink on heavy paper,Architecture and Design,United States,1891,drawings (visual works),"https://www.artic.edu/iiif/2/bcb7e950-e2c6-2cd8-0c07-101262c44fc2/full/843,/0/default.jpg"
245408,"House with Two Courts, Plan",Ludwig Mies van der Rohe,Pencil on paper,Architecture and Design,United States,1934,architectural drawing,"https://www.artic.edu/iiif/2/2940523c-8d3f-92ba-428f-6426cca9d42c/full/843,/0/default.jpg"
242113,"Partello Tower Company/Elevated Electric Railroad Tower, World's Columbian Exposition, Elevation",Peter Joseph Weber,Graphite on paper,Architecture and Design,,1892,architectural drawing,"https://www.artic.edu/iiif/2/c9dbeb37-fb62-7308-5898-53a9df7d2fb9/full/843,/0/default.jpg"
